[08.06.2026, 08:24:35] guest | OPTIONS /api/ideas/my | 204 | 5ms
[08.06.2026, 08:24:35] admin@example.com | GET /my | 304 | 7ms
[08.06.2026, 08:24:52] guest | GET /?status=done | 304 | 1ms
[08.06.2026, 08:24:52] guest | OPTIONS /api/votes/my | 204 | 1ms
[08.06.2026, 08:24:52] admin@example.com | GET /my | 304 | 2ms
[08:27:32] guest | GET / | 304 | 9ms
[08:27:32] guest | OPTIONS /api/votes/my | 204 | 1ms
[08:27:33] admin@example.com | GET /my | 304 | 6ms
[08:28:49] guest | GET / | 304 | 2ms
[08:28:49] guest | OPTIONS /api/votes/my | 204 | 1ms
[08:28:49] admin@example.com | GET /my | 304 | 4ms
[08:29:15] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:29:15] admin@example.com | GET /my | 304 | 4ms
[08:29:20] guest | GET /?status=done | 304 | 1ms
[08:29:20] guest | OPTIONS /api/votes/my | 204 | 1ms
[08:29:20] admin@example.com | GET /my | 304 | 2ms
[08:29:26] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:29:26] admin@example.com | GET /my | 304 | 5ms
[08:29:33] guest | GET /?status=done | 304 | 3ms
[08:29:33] guest | OPTIONS /api/votes/my | 204 | 4ms
[08:29:33] admin@example.com | GET /my | 304 | 11ms
[08:29:34] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:29:34] admin@example.com | GET /my | 304 | 4ms
[08:29:37] guest | GET / | 304 | 4ms
[08:29:37] admin@example.com | GET /my | 304 | 2ms
[08:29:49] guest | GET / | 304 | 1ms
[08:29:49] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:29:49] admin@example.com | GET /my | 304 | 2ms
[08:29:53] guest | GET / | 304 | 2ms
[08:29:53] admin@example.com | GET /my | 304 | 3ms
[08:29:56] guest | OPTIONS /api/ideas/my | 204 | 1ms
[08:29:56] admin@example.com | GET /my | 304 | 4ms
[08:29:59] guest | GET / | 304 | 1ms
[08:29:59] guest | OPTIONS /api/votes/my | 204 | 1ms
[08:29:59] admin@example.com | GET /my | 304 | 1ms
[08:30:02] guest | GET / | 304 | 1ms
[08:30:02] admin@example.com | GET /my | 304 | 2ms
[08:32:02] guest | GET / | 304 | 2ms
[08:32:02] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:32:02] admin@example.com | GET /my | 304 | 2ms
[08:32:28] guest | OPTIONS /api/votes | 204 | 1ms
[08:32:28] admin@example.com | POST / | 200 | 299ms
[08:32:35] guest | GET /?status=done | 304 | 2ms
[08:32:35] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:32:35] admin@example.com | GET /my | 200 | 1ms
[08:33:09] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:33:09] admin@example.com | GET /my | 200 | 2ms
[08:33:24] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:33:24] admin@example.com | GET /my | 304 | 2ms
[08:33:40] guest | OPTIONS /api/ideas/2 | 204 | 0ms
[08:33:40] admin@example.com | PUT /2 | 200 | 8ms
[08:33:40] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:33:40] admin@example.com | GET /my | 200 | 3ms
[08:33:48] guest | GET / | 200 | 2ms
[08:33:48] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:33:48] admin@example.com | GET /my | 304 | 3ms
[08:34:01] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:34:01] admin@example.com | GET /my | 304 | 3ms
[08:34:18] guest | OPTIONS /api/ideas/12 | 204 | 0ms
[08:34:18] admin@example.com | PUT /12 | 200 | 8ms
[08:34:18] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:34:18] admin@example.com | GET /my | 200 | 3ms
[08:34:26] guest | GET / | 200 | 2ms
[08:34:54] guest | OPTIONS /api/auth/login | 204 | 0ms
[08:34:54] guest | POST /login | 200 | 7ms
[08:34:55] guest | GET / | 304 | 1ms
[08:34:55] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:34:55] user@gmail.com | GET /my | 200 | 2ms
[08:35:00] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:35:00] user@gmail.com | GET /my | 200 | 3ms
[08:35:08] guest | OPTIONS /api/ideas/1 | 204 | 0ms
[08:35:08] user@gmail.com | PUT /1 | 200 | 8ms
[08:35:08] guest | OPTIONS /api/ideas/my | 204 | 1ms
[08:35:08] user@gmail.com | GET /my | 200 | 5ms
[08:35:14] guest | GET /?status=done | 200 | 2ms
[08:35:14] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:35:14] user@gmail.com | GET /my | 304 | 2ms
[08:35:22] guest | OPTIONS /api/votes | 204 | 0ms
[08:35:22] user@gmail.com | POST / | 200 | 16ms
[08:35:25] guest | GET / | 200 | 2ms
[08:35:25] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:35:25] user@gmail.com | GET /my | 200 | 2ms
[08:36:30] guest | OPTIONS /api/votes | 204 | 0ms
[08:36:30] user@gmail.com | POST / | 200 | 21ms
